Timetamp,Classification,Confidence
2022-11-20 18:31:27,Urinating,0.8960283
2022-11-20 18:31:27,Urinating,0.6682556
2022-11-20 18:31:28,Urinating,0.8253679
2022-11-20 18:31:28,Urinating,0.45127937
2022-11-20 18:31:29,Urinating,0.45302024
2022-11-20 18:31:30,Urinating,0.59962845
2022-11-20 18:31:30,Urinating,0.67175263
2022-11-20 18:31:30,Urinating,0.36582977
2022-11-20 18:31:30,Urinating,0.46916977
2022-11-20 18:31:31,Urinating,0.38304645
2022-11-20 18:31:31,Urinating,0.7502361
2022-11-20 18:31:32,Urinating,0.3262812
2022-11-20 18:31:32,Urinating,0.37597057
2022-11-20 18:31:37,Licking,0.43397483
2022-11-20 18:31:37,Licking,0.91932046
2022-11-20 18:31:37,Licking,0.67847294
2022-11-20 18:31:37,Licking,0.47177464
2022-11-20 18:31:38,Licking,0.7608185
2022-11-20 18:31:38,Licking,0.7350368
2022-11-20 18:31:38,Licking,0.8782227
2022-11-20 18:31:39,Licking,0.94252986
2022-11-20 18:31:39,Licking,0.95842344
2022-11-20 18:31:39,Licking,0.962492
2022-11-20 18:31:40,Licking,0.9187825
2022-11-20 18:31:40,Licking,0.9546255
2022-11-20 18:31:40,Licking,0.931086
2022-11-20 18:31:41,Licking,0.8117715
2022-11-20 18:31:41,Licking,0.96807355
2022-11-20 18:31:41,Licking,0.9405569
2022-11-20 18:31:41,Licking,0.98162776
2022-11-20 18:31:42,Licking,0.87534285
2022-11-20 18:31:42,Licking,0.95709985
2022-11-20 18:31:42,Licking,0.86370915
2022-11-20 18:31:43,Licking,0.89054704
2022-11-20 18:31:47,Licking,0.48106426
2022-11-20 18:31:48,Licking,0.20622721
2022-11-20 18:31:48,Licking,0.6621317
2022-11-20 18:31:49,Urinating,0.24830875
2022-11-20 18:31:49,Urinating,0.55808896
2022-11-20 18:31:49,Urinating,0.2914221
2022-11-20 18:31:50,Urinating,0.6929772
2022-11-20 18:31:50,Urinating,0.715959
2022-11-20 18:31:50,Urinating,0.5998413
2022-11-20 18:31:51,Urinating,0.7832243
2022-11-20 18:31:51,Urinating,0.2323653
2022-11-20 18:31:51,Urinating,0.33887756
2022-11-20 18:31:51,Licking,0.5142871
